Community_Number,Community_Name,Population
101,NAKHLAT DEIRA,2
111,AL CORNICHE,1735
112,AL RASS,7460
113,AL DHAGAYA,15899
114,AL BUTEEN,2841
115,AL SABKHA,3969
116,AYAL NASIR,19280
117,AL MURAR,38970
118,NAIF,50090
119,AL REGA,10480
121,CORNICHE DEIRA,14
122,AL BARAHA,24747
123,AL MUTEENA,46185
124,AL MURQABAT,69771
125,REGA AL BUTEEN,7120
126,ABU HAIL,17240
127,HOR AL ANZ,83187
128,AL KHBEESI,1992
129,PORT SAEED,13551
131,AL HAMRIYA PORT,481
132,AL WAHEDA,20785
133,HOR AL ANZ EAST,21218
134,AL MAMZER,14938
213,NAD SHAMMA,3124
214,AL GARHOUD,18535
215,UM RAMOOL,2935
216,AL RASHIDIYA,37167
221,DUBAI  AIRPORT,22
226,AL TWAR FIRST,11509
227,AL TWAR SECOND,4835
228,AL TWAR THIRD,10655
231,AL NAHDA FIRST,31449
232,AL QUSAIS FIRST,45657
233,AL QUSAIS SECOND,12473
234,AL QUSAIS THIRD,7162
241,AL NAHDA SECOND,61936
242,AL QUSAIS IND. FIRST,9369
243,AL QUSAIS IND. SECOND,8834
244,MUHAISANAH THIRD,6493
245,MUHAISANAH FOURTH,34947
246,AL QUSAIS IND. THIRD,2710
247,AL QUSAIS IND. FOURTH,2709
248,AL QUSAIS IND FIFTH,1613
251,MURDAF,64355
252,MUSHRAIF,67
261,MUHAISANAH FIRST,8091
262,AL MEZHAR FIRST,16552
263,AL MEZHAR SECOND,11317
264,MUHAISANAH SECOND ,196316
265,OUD AL MUTEEN FIRST,14672
266,OUD AL MUTEEN SECOND ,5506
267,MUHAISANAH FIFTH,2
268,OUD AL MUTEEN THIRD ,6679
271,WADI ALAMRADI,3368
281,AL KHAWANEEJ ONE,12893
282,AL KHAWANEEJ TWO,4523
283,AL AYAS,1757
284,AL TTAY,810
302,JUMEIRA BAY,39
303,WORLD ISLANDS,7
304,JUMEIRA ISLAND 2,3
311,AL SHANDAGA,2
312,AL SUQ AL KABEER,51012
313,AL HAMRIYA,36738
314,UM HURAIR FIRST,5856
315,UM HURAIR SECOND,5328
316,AL RAFFA,47140
317,AL MANKHOOL,40091
318,AL KARAMA,75066
319,OUD METHA,14901
321,MADINAT DUBAI AL MELAHEYAH (AL MINA),15172
322,AL HUDAIBA,14191
323,AL JAFLIYA,23963
324,AL KIFAF,2
325,ZAABEEL FIRST,3260
326,AL JADAF,5104
332,JUMEIRA FIRST,20356
333,AL BADA,56734
334,AL SATWA,38991
335,TRADE CENTER FIRST,16519
336,TRADE CENTER SECOND,12218
337,ZAABEEL SECOND,8102
342,JUMEIRA SECOND,10079
343,AL WASL,11555
345,BURJ KHALIFA,20477
346,AL KALIJ AL TEJARI,21179
347,AL MERKADH,1317
352,JUMEIRA THIRD,13417
353,AL SAFFA FIRST,8514
354,AL GOZE FIRST,20154
355,AL GOZE SECOND,5240
356,UM SUQAIM FIRST,11718
357,AL SAFFA SECOND,6679
358,AL GOZE THIRD,40553
359,AL GOZE FOURTH,22718
362,UM SUQAIM SECOND,12325
363,AL MANARA,8271
364,AL GOZE IND. FIRST ,26075
365,AL GOZE IND. SECOND ,159978
366,UM SUQAIM THIRD,7520
367,UM AL SHEIF,4367
368,AL GOZE IND. THIRD ,26656
369,AL GOZE IND. FOURTH ,38079
372,AL SAFOUH FIRST,4435
373,AL BARSHAA FIRST,39451
375,AL BARSHAA THIRD,14601
376,AL BAESHAA SECOND,15523
381,NAKHLAT JUMEIRA ,24448
382,AL SOFOUH SECOND,6126
383,AL THANYAH FIRST (V. RABIE SAHRA'A),24834
384,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115
388,AL THANYAH THIRD (EMIRATE HILLS SECOND),21442
392,MARSA DUBAI (AL MINA AL SEYAHI) ,61047
393,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586
394,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,27728
412,AL KHEERAN,4982
413,RAS AL KHOR,2
415,AL KHAIRAN FIRST,587
416,NAD AL HAMAR,14216
421,AL WARQAA FIRST,24679
422,AL WARQAA  SECOND,10689
423,AL WARQAA THIRD,14728
424,AL WARQAA FOURTH ,13452
425,AL WARQAA FIFTH ,60
431,WADI ALSHABAK ,55
501,NAKHLAT JABAL ALI,5
502,AL WAJEHAH AL BHARIYAH,4
511,HESSYAN FIRST,3492
512,HESSYAN SECOND,45
513,SAIH SHUAIB 1,9
516,JABAL ALI INDUSTRIAL THIRD,2462
518,JABAL ALI INDUSTRIAL SECOND,23000
521,MADINAT AL MATAAR,2697
531,SAIH SHUAIB 2,14491
532,SAIH SHUAIB 3,11144
533,SAIH SHUAIB 4,11170
591,JABAL ALI FIRST,75287
592,JABAL ALI  SECOND,1570
593,JABAL ALI THIRD,1513
594,MENA JABAL ALI,24487
597,DUBAI INVESTMENT PARK2,60630
598,DUBAI INVESTMENT PARK1,69956
599,JABAL ALI INDUSTRIAL FIRST,128975
611,BU KADRA,16
612,RAS AL KHOR IND. FIRST,2550
613,RAS AL KHOR IND. SECOND,2514
614,RAS AL KHOR IND. THIRD,21834
615,NAD AL SHIBBA SECOND,2389
616,NAD AL SHIBBA THIRD,767
617,NAD AL SHIBBA FOURTH,3685
618,NAD AL SHIBBA FIRST,5948
621,WARSAN FIRST,106072
622,WARSAN SECOND,1568
624,WARSAN FOURTH,8994
626,NADD HESSA,38494
631,HADAEQ SHEIKH MOHAMMED BIN RASHID,1563
643,WADI AL SAFA 2,10519
645,WADI AL SAFA 3,9764
646,WADI AL SAFA 4,2
648,WADI AL SAFA 5,21241
664,WADI AL SAFA 6 (ARABIAN RANCHES),18213
665,WADI AL SAFA 7,8473
671,AL BARSHA SOUTH FIRST,13717
672,AL BARSHA SOUTH SECOND,7509
673,AL BARSHA SOUTH THIRD,6929
674,AL HEBIAH FIRST,10598
675,AL HEBIAH SECOND,1523
676,AL HEBIAH THIRD,6845
677,AL HEBIAH SIXTH,2322
681,AL BARSHA SOUTH FOURTH,25974
682,AL HEBIAH FOURTH,20611
683,AL HEBIAH FIFTH,9748
684,AL BARSHA SOUTH FIFTH,7384
685,ME'AISEM FIRST,18002
686,ME'AISEM SECOND,12
711,AL AWEER ONE,4107
721,AL AWEER TWO,5236
724,ENKHALI,26
727,AL WOHOOSH,46
731,LEHBAB FIRST,3197
735,AL MERYAL,754
736,NAZWAH,544
811,WARSAN THIRD,13579
812,AL ROWAIYAH FIRST,3127
813,AL ROWAIYAH SECOND,25
814,AL ROWAIYAH THIRD,4429
821,MEREIYEEL,1119
824,UMM AL DAMAN,283
826,LE HEMAIRA,53
831,LEHBAB SECOND,1511
835,UMM AL MO'MENEEN,309
841,MARGHAM,1005
845,AL MAHA,193
847,UMM ESELAY,204
851,REMAH,232
857,MARGAB,628
861,YARAAH,94
891,HATTA,14045
911,UMM NAHAD FIRST,8
912,UMM NAHAD SECOND,2
913,UMM NAHAD THIRD,1347
914,UMM NAHAD FOURTH,4
915,AL YUFRAH 1,403
916,AL YUFRAH 2,58
917,AL MARMOOM,94
918,AL YUFRAH 3,4
919,AL YUFRAH 4,3
921,AL YALAYIS 1,1114
922,AL YALAYIS 2,1364
923,AL YALAYIS 3,4
924,AL YALAYIS 4,8
925,AL YALAYIS 5,100
931,AL LESAILY,2856
941,GRAYTEESAH,55
945,AL FAGAA',417
951,SAIH AL SALAM,607
956,AL HATHMAH,35
961,AL SELAL,665
967,GHADEER BARASHY,7
971,SAIH AL DAHAL,16
975,AL O'SHOOSH,0
978,SAIH SHUA'ALAH,3
981,MUGATRAH,804
987,AL LAYAN 1,10
988,AL LAYAN 2,0
991,HEFAIR,0
